G:\Code\DarkSoulsMods\soulstruct-git\venv\Scripts\python.exe G:/Code/DarkSoulsMods/soulstruct-git/soulstruct/__main__.py
FOG_BANK 0 | s16 | s16 | fogBeginZ | 開始距離[m] | フォグの開始距離です
EQUIP_PARAM_ACCESSORY_ST 3 | s32 | s32 | behaviorId | 行動ID | 行動ID(=Skill)
EQUIP_PARAM_ACCESSORY_ST 4 | s32 | s32 | basicPrice | 基本価格 | 基本価格
EQUIP_PARAM_ACCESSORY_ST 5 | s32 | s32 | sellValue | 販売価格 | 販売価格
EQUIP_PARAM_ACCESSORY_ST 6 | s32 | s32 | sortId | sortID | 
EQUIP_PARAM_ACCESSORY_ST 7 | s32 | s32 | qwcId | QWCID | 
EQUIP_PARAM_ACCESSORY_ST 8 | u16 | u16 | equipModelId | 装備モデル番号 | 装備モデルの番号
EQUIP_PARAM_ACCESSORY_ST 9 | u16 | u16 | iconId | アイコンID | メニューアイコンID
EQUIP_PARAM_ACCESSORY_ST 10 | s16 | s16 | shopLv | ショップレベル | お店で販売できるレベル
EQUIP_PARAM_ACCESSORY_ST 11 | s16 | s16 | trophySGradeId | トロフィー | 
EQUIP_PARAM_ACCESSORY_ST 12 | s16 | s16 | trophySeqId | トロフィーSEQ番号 | トロフィーのSEQ番号
EQUIP_PARAM_ACCESSORY_ST 13 | EQUIP_MODEL_CATEGORY | u8 | equipModelCategory | 装備モデル種別 | 装備モデルの種別
EQUIP_PARAM_ACCESSORY_ST 14 | EQUIP_MODEL_GENDER | u8 | equipModelGender | 装備モデル性別 | 装備モデルの性別
EQUIP_PARAM_ACCESSORY_ST 15 | ACCESSORY_CATEGORY | u8 | accessoryCategory | 装飾カテゴリ | 防具のカテゴリ
EQUIP_PARAM_ACCESSORY_ST 16 | BEHAVIOR_REF_TYPE | u8 | refCategory | IDカテゴリ | ↓のIDのカテゴリ[攻撃、飛び道具、特殊]
EQUIP_PARAM_ACCESSORY_ST 17 | BEHAVIOR_CATEGORY | u8 | spEffectCategory | 特殊効果カテゴリ | スキルや、魔法、アイテムなどで、パラメータが変動する効果（エンチャントウェポンなど）があるので、│定した効果が、「武器攻撃のみをパワーアップする」といった効果に対応できるように行動ごとに設定するバリスタなど、設定の必要のないものは「なし」を設定する

EQUIP_PARAM_ACCESSORY_ST 18 | dummy8 | dummy8 | pad[1] | パディング | 
EQUIP_PARAM_ACCESSORY_ST 19 | s32 | s32 | vagrantItemLotId | ベイグラント時アイテム抽選ID | -1：ベイグラントなし 0：抽選なし 1〜：抽選あり
EQUIP_PARAM_ACCESSORY_ST 20 | s32 | s32 | vagrantBonusEneDropItemLotId | ベイグラントボーナス敵ドロップアイテム抽選ID | -1：ドロップなし 0：抽選なし 1〜：抽選あり
EQUIP_PARAM_ACCESSORY_ST 21 | s32 | s32 | vagrantItemEneDropItemLotId | ベイグラントアイテム敵ドロップアイテム抽選ID | -1：ドロップなし 0：抽選なし 1〜：抽選あり
EQUIP_PARAM_ACCESSORY_ST 22 | EQUIP_BOOL | u8 | isDeposit:1 | 預けれるか | 倉庫へ預けれるか
EQUIP_PARAM_ACCESSORY_ST 23 | EQUIP_BOOL | u8 | isEquipOutBrake:1 | 外すと壊れるか | 装備して外す時に壊れるか
EQUIP_PARAM_ACCESSORY_ST 24 | EQUIP_BOOL | u8 | disableMultiDropShare:1 | マルチドロップ共有禁止か | マルチドロップ共有禁止か
EQUIP_PARAM_ACCESSORY_ST 25 | dummy8 | dummy8 | pad1[3] | pad | pad
EQUIP_PARAM_GOODS_ST 0 | s32 | s32 | refId | 呼び出しID | アイテムから呼び出されるID
EQUIP_PARAM_GOODS_ST 1 | s32 | s32 | sfxVariationId | SFXバリエーションID | ＳＦＸのバリエーションを指定（TimeActEditorのＩＤと組み合わせて、ＳＦＸを特定するのに使用する）
EQUIP_PARAM_GOODS_ST 2 | f32 | f32 | weight | 重量[kg] | 重量[kg]
EQUIP_PARAM_GOODS_ST 3 | s32 | s32 | basicPrice | 基本価格 | 基本価格
EQUIP_PARAM_GOODS_ST 4 | s32 | s32 | sellValue | 販売価格 | 販売価格
EQUIP_PARAM_GOODS_ST 5 | s32 | s32 | behaviorId | 行動ID | 道具を使ったときに発生する効果を設定します
EQUIP_PARAM_GOODS_ST 6 | s32 | s32 | replaceItemId | 差し替えアイテムID | 差し替えるときのアイテムID
EQUIP_PARAM_GOODS_ST 7 | s32 | s32 | sortId | ソートID | ソートID(-1:集めない)
EQUIP_PARAM_GOODS_ST 8 | s32 | s32 | qwcId | QWCID | QWCのパラメタiD
EQUIP_PARAM_GOODS_ST 9 | s32 | s32 | yesNoDialogMessageId | YES/NOメッセージID | YesNoダイアログ表示時に使用するメッセージID
EQUIP_PARAM_GOODS_ST 10 | s32 | s32 | magicId | 魔法ID | 巻物と紐づいた魔法ID
EQUIP_PARAM_GOODS_ST 11 | u16 | u16 | iconId | アイコンID | メニュー用アイコンID
EQUIP_PARAM_GOODS_ST 12 | u16 | u16 | modelId | モデルID | モデルID
EQUIP_PARAM_GOODS_ST 13 | s16 | s16 | shopLv | ショップレベル | お店で販売できるレベル
EQUIP_PARAM_GOODS_ST 14 | s16 | s16 | compTrophySedId | コンプトロフィーSEQ番号 | コンプリート系トロフィのSEQ番号
EQUIP_PARAM_GOODS_ST 15 | s16 | s16 | trophySeqId | トロフィーSEQ番号 | トロフィーのSEQ番号
EQUIP_PARAM_GOODS_ST 16 | s16 | s16 | maxNum | 最大所持数 | 最大所持数
EQUIP_PARAM_GOODS_ST 17 | u8 | u8 | consumeHeroPoint | 消費人間性 | 消費人間性
EQUIP_PARAM_GOODS_ST 18 | u8 | u8 | overDexterity | 技量オーバー開始値 | 技量オーバー開始値
EQUIP_PARAM_GOODS_ST 19 | GOODS_TYPE | u8 | goodsType | 道具のタイプ | 道具の種類
EQUIP_PARAM_GOODS_ST 20 | BEHAVIOR_REF_TYPE | u8 | refCategory | IDカテゴリ | ↓のIDのカテゴリ[攻撃、飛び道具、特殊]
EQUIP_PARAM_GOODS_ST 21 | BEHAVIOR_CATEGORY | u8 | spEffectCategory | 特殊効果カテゴリ | スキルや、魔法、アイテムなどで、パラメータが変動する効果（エンチャントウェポンなど）があるので、│定した効果が、「武器攻撃のみをパワーアップする」といった効果に対応できるように行動ごとに設定するバリスタなど、設定の必要のないものは「なし」を設定する
EQUIP_PARAM_GOODS_ST 22 | GOODS_CATEGORY | u8 | goodsCategory | 道具カテゴリ | 道具カテゴリ
EQUIP_PARAM_GOODS_ST 23 | GOODS_USE_ANIM | u8 | goodsUseAnim | 道具使用時アニメ | 道具を使ったときに再生するアニメを設定します
EQUIP_PARAM_GOODS_ST 24 | GOODS_OPEN_MENU | u8 | opmeMenuType | メニュー開くか | アイテム使用時に開くメニュータイプ
EQUIP_PARAM_GOODS_ST 25 | SP_EFFECT_USELIMIT_CATEGORY | u8 | useLimitCategory | 特殊効果カテゴリによる使用制限 | かかっている特殊効果によって使用可能かを制御する為に指定
EQUIP_PARAM_GOODS_ST 26 | REPLACE_CATEGORY | u8 | replaceCategory | 差し替えカテゴリ | 呼び出しIDに加算しる条件カテゴリ
EQUIP_PARAM_GOODS_ST 27 | EQUIP_BOOL | u8 | vowType0:1 | 誓約0 | 誓約0で使用可能か
EQUIP_PARAM_GOODS_ST 28 | EQUIP_BOOL | u8 | vowType1:1 | 誓約1 | 誓約1で使用可能か
EQUIP_PARAM_GOODS_ST 29 | EQUIP_BOOL | u8 | vowType2:1 | 誓約2 | 誓約2で使用可能か
EQUIP_PARAM_GOODS_ST 30 | EQUIP_BOOL | u8 | vowType3:1 | 誓約3 | 誓約3で使用可能か
EQUIP_PARAM_GOODS_ST 31 | EQUIP_BOOL | u8 | vowType4:1 | 誓約4 | 誓約4で使用可能か
EQUIP_PARAM_GOODS_ST 32 | EQUIP_BOOL | u8 | vowType5:1 | 誓約5 | 誓約5で使用可能か
EQUIP_PARAM_GOODS_ST 33 | EQUIP_BOOL | u8 | vowType6:1 | 誓約6 | 誓約6で使用可能か
EQUIP_PARAM_GOODS_ST 34 | EQUIP_BOOL | u8 | vowType7:1 | 誓約7 | 誓約7で使用可能か
EQUIP_PARAM_GOODS_ST 35 | EQUIP_BOOL | u8 | vowType8:1 | 誓約8 | 誓約8で使用可能か
EQUIP_PARAM_GOODS_ST 36 | EQUIP_BOOL | u8 | vowType9:1 | 誓約9 | 誓約9で使用可能か
EQUIP_PARAM_GOODS_ST 37 | EQUIP_BOOL | u8 | vowType10:1 | 誓約10 | 誓約10で使用可能か
EQUIP_PARAM_GOODS_ST 38 | EQUIP_BOOL | u8 | vowType11:1 | 誓約11 | 誓約11で使用可能か
EQUIP_PARAM_GOODS_ST 39 | EQUIP_BOOL | u8 | vowType12:1 | 誓約12 | 誓約12で使用可能か
EQUIP_PARAM_GOODS_ST 40 | EQUIP_BOOL | u8 | vowType13:1 | 誓約13 | 誓約13で使用可能か
EQUIP_PARAM_GOODS_ST 41 | EQUIP_BOOL | u8 | vowType14:1 | 誓約14 | 誓約14で使用可能か
EQUIP_PARAM_GOODS_ST 42 | EQUIP_BOOL | u8 | vowType15:1 | 誓約15 | 誓約15で使用可能か
EQUIP_PARAM_GOODS_ST 43 | EQUIP_BOOL | u8 | enable_live:1 | 生存使用可 | 生存プレイヤー使用可能か
EQUIP_PARAM_GOODS_ST 44 | EQUIP_BOOL | u8 | enable_gray:1 | グレイ使用可 | グレイゴースト使用可能か
EQUIP_PARAM_GOODS_ST 45 | EQUIP_BOOL | u8 | enable_white:1 | 白使用可 | ホワイトゴースト使用可能か
EQUIP_PARAM_GOODS_ST 46 | EQUIP_BOOL | u8 | enable_black:1 | 黒使用可 | ブラックゴーストしよう可能か
EQUIP_PARAM_GOODS_ST 47 | EQUIP_BOOL | u8 | enable_multi:1 | マルチプレイ可 | マルチプレイ中に使用可能か？
EQUIP_PARAM_GOODS_ST 48 | EQUIP_BOOL | u8 | enable_pvp:1 | 戦闘 | マルチプレイ中に使用可能か？
EQUIP_PARAM_GOODS_ST 49 | EQUIP_BOOL | u8 | disable_offline:1 | オフラインで使用不可 | オフライン中に使用不可か？
EQUIP_PARAM_GOODS_ST 50 | EQUIP_BOOL | u8 | isEquip:1 | 装備可能 | 装備できるかどうか
EQUIP_PARAM_GOODS_ST 51 | EQUIP_BOOL | u8 | isConsume:1 | 消耗品か | 使用時に消耗するか(所持数が減るか)
EQUIP_PARAM_GOODS_ST 52 | EQUIP_BOOL | u8 | isAutoEquip:1 | 自動装備するか？ | 拾った時に自動で装備するか？
EQUIP_PARAM_GOODS_ST 53 | EQUIP_BOOL | u8 | isEstablishment:1 | 設置型アイテムか？ | 設置型アイテムか？
EQUIP_PARAM_GOODS_ST 54 | EQUIP_BOOL | u8 | isOnlyOne:1 | 1個しか持てないか | 1個しか持てないアイテムか
EQUIP_PARAM_GOODS_ST 55 | EQUIP_BOOL | u8 | isDrop:1 | 捨てれるか | アイテムを捨てれるか？TRUE=捨てれる
EQUIP_PARAM_GOODS_ST 56 | EQUIP_BOOL | u8 | isDeposit:1 | 預けれるか | 倉庫に預けれるか
EQUIP_PARAM_GOODS_ST 57 | EQUIP_BOOL | u8 | isDisableHand:1 | 右素手に使えないか | 右手武器が素手の場合に使用不可か
EQUIP_PARAM_GOODS_ST 58 | EQUIP_BOOL | u8 | IsTravelItem:1 | 旅するアイテムか | 旅するアイテム判別に使用します
EQUIP_PARAM_GOODS_ST 59 | EQUIP_BOOL | u8 | isSuppleItem:1 | 補充アイテムか | 補充可能アイテムを判別するのに使用します
EQUIP_PARAM_GOODS_ST 60 | EQUIP_BOOL | u8 | isFullSuppleItem:1 | 補充済みアイテムか | 補充済みアイテムを判別するのに使用します
EQUIP_PARAM_GOODS_ST 61 | EQUIP_BOOL | u8 | isEnhance:1 | エンチャントするか？ | 武器にエンチャントするか？
EQUIP_PARAM_GOODS_ST 62 | EQUIP_BOOL | u8 | isFixItem:1 | 修理アイテムか | 修理するアイテムか？
EQUIP_PARAM_GOODS_ST 63 | EQUIP_BOOL | u8 | disableMultiDropShare:1 | マルチドロップ共有禁止か | マルチドロップ共有禁止か
EQUIP_PARAM_GOODS_ST 64 | EQUIP_BOOL | u8 | disableUseAtColiseum:1 | 闘技場で使用禁止か | 闘技場で使用禁止か
EQUIP_PARAM_GOODS_ST 65 | EQUIP_BOOL | u8 | disableUseAtOutOfColiseum:1 | 闘技場以外で使用禁止か | 闘技場以外で使用禁止か
EQUIP_PARAM_GOODS_ST 66 | dummy8 | dummy8 | pad[9] | パディング | 
EQUIP_PARAM_GOODS_ST 67 | s32 | s32 | vagrantItemLotId | ベイグラント時アイテム抽選ID | -1：ベイグラントなし 0：抽選なし 1〜：抽選あり
EQUIP_PARAM_GOODS_ST 68 | s32 | s32 | vagrantBonusEneDropItemLotId | ベイグラントボーナス敵ドロップアイテム抽選ID | -1：ドロップなし 0：抽選なし 1〜：抽選あり
EQUIP_PARAM_GOODS_ST 69 | s32 | s32 | vagrantItemEneDropItemLotId | ベイグラントアイテム敵ドロップアイテム抽選ID | -1：ドロップなし 0：抽選なし 1〜：抽選あり
EQUIP_PARAM_PROTECTOR_ST 0 | s32 | s32 | sortId | ソートID | ソートID
EQUIP_PARAM_PROTECTOR_ST 1 | u32 | u32 | wanderingEquipId | 徘徊装備ID | 徘徊ゴースト用の差し替え装備ID.
EQUIP_PARAM_PROTECTOR_ST 2 | s32 | s32 | vagrantItemLotId | ベイグラント時アイテム抽選ID | -1：ベイグラントなし 0：抽選なし 1〜：抽選あり
EQUIP_PARAM_PROTECTOR_ST 3 | s32 | s32 | vagrantBonusEneDropItemLotId | ベイグラントボーナス敵ドロップアイテム抽選ID | -1：ドロップなし 0：抽選なし 1〜：抽選あり
EQUIP_PARAM_PROTECTOR_ST 4 | s32 | s32 | vagrantItemEneDropItemLotId | ベイグラントアイテム敵ドロップアイテム抽選ID | -1：ドロップなし 0：抽選なし 1〜：抽選あり
EQUIP_PARAM_PROTECTOR_ST 5 | s32 | s32 | fixPrice | 修理価格 | 修理基本価格
EQUIP_PARAM_PROTECTOR_ST 6 | s32 | s32 | basicPrice | 基本価格 | 基本価格
EQUIP_PARAM_PROTECTOR_ST 7 | s32 | s32 | sellValue | 販売価格 | 販売価格
EQUIP_PARAM_PROTECTOR_ST 8 | f32 | f32 | weight | 重量[kg] | 重量[kg].
EQUIP_PARAM_PROTECTOR_ST 9 | s32 | s32 | residentSpEffectId | 常駐特殊効果ID1 | 常駐特殊効果ID1
EQUIP_PARAM_PROTECTOR_ST 10 | s32 | s32 | residentSpEffectId2 | 常駐特殊効果ID2 | 常駐特殊効果ID2
EQUIP_PARAM_PROTECTOR_ST 11 | s32 | s32 | residentSpEffectId3 | 常駐特殊効果ID3 | 常駐特殊効果ID3
EQUIP_PARAM_PROTECTOR_ST 12 | s32 | s32 | materialSetId | 素材ID | 武器強化に必要な素材パラメータID
EQUIP_PARAM_PROTECTOR_ST 13 | f32 | f32 | partsDamageRate | 部位ダメージ率 | 部位ダメージ率
EQUIP_PARAM_PROTECTOR_ST 14 | f32 | f32 | corectSARecover | SA回復時間補正値 | スーパーアーマー回復時間の補正値
EQUIP_PARAM_PROTECTOR_ST 15 | s32 | s32 | originEquipPro | 派生元 | この防具の強化元防具ID
EQUIP_PARAM_PROTECTOR_ST 16 | s32 | s32 | originEquipPro1 | 派生元 強化+1 | この防具の強化元防具ID1
EQUIP_PARAM_PROTECTOR_ST 17 | s32 | s32 | originEquipPro2 | 派生元 強化+2 | この防具の強化元防具ID2
EQUIP_PARAM_PROTECTOR_ST 18 | s32 | s32 | originEquipPro3 | 派生元 強化+3 | この防具の強化元防具ID3
EQUIP_PARAM_PROTECTOR_ST 19 | s32 | s32 | originEquipPro4 | 派生元 強化+4 | この防具の強化元防具ID4
EQUIP_PARAM_PROTECTOR_ST 20 | s32 | s32 | originEquipPro5 | 派生元 強化+5 | この防具の強化元防具ID5
EQUIP_PARAM_PROTECTOR_ST 21 | s32 | s32 | originEquipPro6 | 派生元 強化+6 | この防具の強化元防具ID6
EQUIP_PARAM_PROTECTOR_ST 22 | s32 | s32 | originEquipPro7 | 派生元 強化+7 | この防具の強化元防具ID7
EQUIP_PARAM_PROTECTOR_ST 23 | s32 | s32 | originEquipPro8 | 派生元 強化+8 | この防具の強化元防具ID8
EQUIP_PARAM_PROTECTOR_ST 24 | s32 | s32 | originEquipPro9 | 派生元 強化+9 | この防具の強化元防具ID9
EQUIP_PARAM_PROTECTOR_ST 25 | s32 | s32 | originEquipPro10 | 派生元 強化+10 | この防具の強化元防具ID10
EQUIP_PARAM_PROTECTOR_ST 26 | s32 | s32 | originEquipPro11 | 派生元 強化+11 | この防具の強化元防具ID11
EQUIP_PARAM_PROTECTOR_ST 27 | s32 | s32 | originEquipPro12 | 派生元 強化+12 | この防具の強化元防具ID12
EQUIP_PARAM_PROTECTOR_ST 28 | s32 | s32 | originEquipPro13 | 派生元 強化+13 | この防具の強化元防具ID13
EQUIP_PARAM_PROTECTOR_ST 29 | s32 | s32 | originEquipPro14 | 派生元 強化+14 | この防具の強化元防具ID14
EQUIP_PARAM_PROTECTOR_ST 30 | s32 | s32 | originEquipPro15 | 派生元 強化+15 | この防具の強化元防具ID15
EQUIP_PARAM_PROTECTOR_ST 31 | f32 | f32 | faceScaleM_ScaleX | 男横顔拡大スケール | 
EQUIP_PARAM_PROTECTOR_ST 32 | f32 | f32 | faceScaleM_ScaleZ | 男前顔拡大スケール | 
EQUIP_PARAM_PROTECTOR_ST 33 | f32 | f32 | faceScaleM_MaxX | 男横顔拡大最大倍率 | 
EQUIP_PARAM_PROTECTOR_ST 34 | f32 | f32 | faceScaleM_MaxZ | 男前顔拡大最大倍率 | 
EQUIP_PARAM_PROTECTOR_ST 35 | f32 | f32 | faceScaleF_ScaleX | 女横顔拡大スケール | 
EQUIP_PARAM_PROTECTOR_ST 36 | f32 | f32 | faceScaleF_ScaleZ | 女前顔拡大スケール | 
EQUIP_PARAM_PROTECTOR_ST 37 | f32 | f32 | faceScaleF_MaxX | 女横顔拡大最大倍率 | 
EQUIP_PARAM_PROTECTOR_ST 38 | f32 | f32 | faceScaleF_MaxZ | 女前顔拡大最大倍率 | 
EQUIP_PARAM_PROTECTOR_ST 39 | s32 | s32 | qwcId | QWCID | QWCのパラメタID
EQUIP_PARAM_PROTECTOR_ST 40 | u16 | u16 | equipModelId | 装備モデル番号 | 装備モデルの番号.
EQUIP_PARAM_PROTECTOR_ST 41 | u16 | u16 | iconIdM | 男用アイコンID | 男用メニューアイコンID.
EQUIP_PARAM_PROTECTOR_ST 42 | u16 | u16 | iconIdF | 女用アイコンID | 女用メニューアイコンID.
EQUIP_PARAM_PROTECTOR_ST 43 | u16 | u16 | knockBack | ノックバックカット率 | ノックバックの減少値.
EQUIP_PARAM_PROTECTOR_ST 44 | u16 | u16 | knockbackBounceRate | ノックバック反発率 | ノックバックの反発率.
EQUIP_PARAM_PROTECTOR_ST 45 | u16 | u16 | durability | 耐久度 | 初期耐久度.
EQUIP_PARAM_PROTECTOR_ST 46 | u16 | u16 | durabilityMax | 耐久度最大値 | 新品耐久度.
EQUIP_PARAM_PROTECTOR_ST 47 | s16 | s16 | saDurability | SA耐久値 | スーパーアーマー耐久力
EQUIP_PARAM_PROTECTOR_ST 48 | u16 | u16 | defFlickPower | はじき防御力 | 敵の攻撃のはじき返し判定に利用.
EQUIP_PARAM_PROTECTOR_ST 49 | u16 | u16 | defensePhysics | 物理防御力 | 物理攻撃のダメージ防御.
EQUIP_PARAM_PROTECTOR_ST 50 | u16 | u16 | defenseMagic | 魔法防御力 | 魔法攻撃のダメージ防御.
EQUIP_PARAM_PROTECTOR_ST 51 | u16 | u16 | defenseFire | 炎防御力 | 炎攻撃のダメージ防御.
EQUIP_PARAM_PROTECTOR_ST 52 | u16 | u16 | defenseThunder | 電撃防御力 | 電撃攻撃のダメージ防御.
EQUIP_PARAM_PROTECTOR_ST 53 | s16 | s16 | defenseSlash | 斬撃防御力 | 攻撃タイプを見て、斬撃属性のときは、防御力を減少させる
EQUIP_PARAM_PROTECTOR_ST 54 | s16 | s16 | defenseBlow | 打撃防御力 | 攻撃属性を見て、打撃属性のときは、防御力を減少させる.
EQUIP_PARAM_PROTECTOR_ST 55 | s16 | s16 | defenseThrust | 刺突防御力 | 攻撃属性を見て、打撃属性のときは、防御力を減少させる.
EQUIP_PARAM_PROTECTOR_ST 56 | u16 | u16 | resistPoison | 毒耐性 | 毒状態異常へのかかりにくさ
EQUIP_PARAM_PROTECTOR_ST 57 | u16 | u16 | resistDisease | 疫病耐性 | 疫病状態異常へのかかりにくさ
EQUIP_PARAM_PROTECTOR_ST 58 | u16 | u16 | resistBlood | 出血耐性 | 出血状態異常へのかかりにくさ
EQUIP_PARAM_PROTECTOR_ST 59 | u16 | u16 | resistCurse | 呪耐性 | 呪い状態異常へのかかりにくさ
EQUIP_PARAM_PROTECTOR_ST 60 | s16 | s16 | reinforceTypeId | 強化タイプID | 強化タイプID
EQUIP_PARAM_PROTECTOR_ST 61 | s16 | s16 | trophySGradeId | トロフィー | トロフィーシステムに関係あるか？
EQUIP_PARAM_PROTECTOR_ST 62 | s16 | s16 | shopLv | ショップレベル | お店で販売できるレベル
EQUIP_PARAM_PROTECTOR_ST 63 | u8 | u8 | knockbackParamId | ノックバックパラメータID | ノックバックで使用するパラメータのID
EQUIP_PARAM_PROTECTOR_ST 64 | u8 | u8 | flickDamageCutRate | はじき時ダメージ減衰率[%] | はじき時のダメージ減衰率に使用
EQUIP_PARAM_PROTECTOR_ST 65 | EQUIP_MODEL_CATEGORY | u8 | equipModelCategory | 装備モデル種別 | 装備モデルの種別.
EQUIP_PARAM_PROTECTOR_ST 66 | EQUIP_MODEL_GENDER | u8 | equipModelGender | 装備モデル性別 | 装備モデルの性別.
EQUIP_PARAM_PROTECTOR_ST 67 | PROTECTOR_CATEGORY | u8 | protectorCategory | 防具カテゴリ | 防具のカテゴリ.
EQUIP_PARAM_PROTECTOR_ST 68 | WEP_MATERIAL_DEF | u8 | defenseMaterial | 防御材質【SE】 | 移動/防御時のSE用.
EQUIP_PARAM_PROTECTOR_ST 69 | WEP_MATERIAL_DEF_SFX | u8 | defenseMaterialSfx | 防御材質【SFX】 | 移動/防御時のSFX用.
EQUIP_PARAM_PROTECTOR_ST 70 | ATK_PARAM_PARTSDMGTYPE | u8 | partsDmgType | 部位ダメージ適用攻撃 | 部位ダメージ判定を行う攻撃タイプを設定
EQUIP_PARAM_PROTECTOR_ST 71 | WEP_MATERIAL_DEF | u8 | defenseMaterial_Weak | 弱点防御材質【SE】 | 弱点部位ダメージ時のSE用
EQUIP_PARAM_PROTECTOR_ST 72 | WEP_MATERIAL_DEF_SFX | u8 | defenseMaterialSfx_Weak | 弱点防御材質【SFX】 | 弱点部位ダメージ時のSFX用
EQUIP_PARAM_PROTECTOR_ST 73 | EQUIP_BOOL | u8 | isDeposit:1 | 預けれるか | 倉庫に預けれるか
EQUIP_PARAM_PROTECTOR_ST 74 | EQUIP_BOOL | u8 | headEquip:1 | 頭装備 | 頭装備か.
EQUIP_PARAM_PROTECTOR_ST 75 | EQUIP_BOOL | u8 | bodyEquip:1 | 胴装備 | 胴装備か.
EQUIP_PARAM_PROTECTOR_ST 76 | EQUIP_BOOL | u8 | armEquip:1 | 腕装備 | 腕装備か.
EQUIP_PARAM_PROTECTOR_ST 77 | EQUIP_BOOL | u8 | legEquip:1 | 脚装備 | 脚装備か.
EQUIP_PARAM_PROTECTOR_ST 78 | EQUIP_BOOL | u8 | useFaceScale:1 | 顔スケールを使用するか | 顔スケールを使用するか
EQUIP_PARAM_PROTECTOR_ST 79 | u8 | u8 | invisibleFlag00:1 | #00#非表示 | 前髪の先
EQUIP_PARAM_PROTECTOR_ST 80 | u8 | u8 | invisibleFlag01:1 | #01#非表示 | 前髪の根元
EQUIP_PARAM_PROTECTOR_ST 81 | u8 | u8 | invisibleFlag02:1 | #02#非表示 | もみあげ
EQUIP_PARAM_PROTECTOR_ST 82 | u8 | u8 | invisibleFlag03:1 | #03#非表示 | 頭頂部
EQUIP_PARAM_PROTECTOR_ST 83 | u8 | u8 | invisibleFlag04:1 | #04#非表示 | 頭頂部
EQUIP_PARAM_PROTECTOR_ST 84 | u8 | u8 | invisibleFlag05:1 | #05#非表示 | 後ろ髪
EQUIP_PARAM_PROTECTOR_ST 85 | u8 | u8 | invisibleFlag06:1 | #06#非表示 | 後ろ髪の先
EQUIP_PARAM_PROTECTOR_ST 86 | u8 | u8 | invisibleFlag07:1 | #07#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 87 | u8 | u8 | invisibleFlag08:1 | #08#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 88 | u8 | u8 | invisibleFlag09:1 | #09#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 89 | u8 | u8 | invisibleFlag10:1 | #10#非表示 | 襟
EQUIP_PARAM_PROTECTOR_ST 90 | u8 | u8 | invisibleFlag11:1 | #11#非表示 | 襟回り
EQUIP_PARAM_PROTECTOR_ST 91 | u8 | u8 | invisibleFlag12:1 | #12#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 92 | u8 | u8 | invisibleFlag13:1 | #13#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 93 | u8 | u8 | invisibleFlag14:1 | #14#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 94 | u8 | u8 | invisibleFlag15:1 | #15#非表示 | 頭巾の裾
EQUIP_PARAM_PROTECTOR_ST 95 | u8 | u8 | invisibleFlag16:1 | #16#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 96 | u8 | u8 | invisibleFlag17:1 | #17#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 97 | u8 | u8 | invisibleFlag18:1 | #18#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 98 | u8 | u8 | invisibleFlag19:1 | #19#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 99 | u8 | u8 | invisibleFlag20:1 | #20#非表示 | 袖A
EQUIP_PARAM_PROTECTOR_ST 100 | u8 | u8 | invisibleFlag21:1 | #21#非表示 | 袖B
EQUIP_PARAM_PROTECTOR_ST 101 | u8 | u8 | invisibleFlag22:1 | #22#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 102 | u8 | u8 | invisibleFlag23:1 | #23#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 103 | u8 | u8 | invisibleFlag24:1 | #24#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 104 | u8 | u8 | invisibleFlag25:1 | #25#非表示 | 腕
EQUIP_PARAM_PROTECTOR_ST 105 | u8 | u8 | invisibleFlag26:1 | #26#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 106 | u8 | u8 | invisibleFlag27:1 | #27#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 107 | u8 | u8 | invisibleFlag28:1 | #28#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 108 | u8 | u8 | invisibleFlag29:1 | #29#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 109 | u8 | u8 | invisibleFlag30:1 | #30#非表示 | ベルト
EQUIP_PARAM_PROTECTOR_ST 110 | u8 | u8 | invisibleFlag31:1 | #31#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 111 | u8 | u8 | invisibleFlag32:1 | #32#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 112 | u8 | u8 | invisibleFlag33:1 | #33#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 113 | u8 | u8 | invisibleFlag34:1 | #34#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 114 | u8 | u8 | invisibleFlag35:1 | #35#非表示 | 
EQUIP_PARAM_PROTECTOR_ST 115 | u8 | u8 | invisibleFlag36:1 | #36#非表示 | 
